esg_score,industry_rank,total_companies_on_industry,global_rank,total_companies_on_ms,last_esg_full_update_date,last_esg_update_date,industry_group,symbol,controversy_risk,updated_on
30.9,881,1050,11982,16215,20230220_000000,20230220_000000,Banks,PNBN.JK,,20240626_034641
28.4,216,300,10508,16215,20240305_000000,20240305_000000,Insurance,PNLF.JK,0.0,20240626_034650
26.4,242,682,9167,16215,20230524_000000,20240523_000000,Utilities,POWR.JK,,20240626_034725
33.9,64,309,13333,16215,20240305_000000,20240427_000000,Oil & Gas Producers,PTBA.JK,1.0,20240626_034801
29.4,180,204,11165,16215,20240228_000000,20240427_000000,Traders & Distributors,PTMP.JK,,20240626_034812
38.4,212,377,14702,16215,20240423_000000,20240427_000000,Construction & Engineering,PTPP.JK,,20240626_034817
19.4,717,1050,4485,16215,20231129_000000,20231129_000000,Real Estate,PWON.JK,0.0,20240626_034845
37.6,490,682,14561,16215,20230828_000000,20240427_000000,Utilities,RAJA.JK,0.0,20240626_034901
19.9,325,516,4800,16215,20230503_000000,20240427_000000,Retailing,RALS.JK,,20240626_034910
22.7,193,407,6661,16215,20230227_000000,20230227_000000,Transportation,RMKE.JK,0.0,20240626_034942
15.3,103,306,2113,16215,20230208_000000,20230208_000000,Media,SCMA.JK,0.0,20240626_035020
53.3,203,243,16070,16215,20230421_000000,20240427_000000,Diversified Metals,SGER.JK,,20240626_035038
18.5,69,921,3865,16215,20240426_000000,20240426_000000,Pharmaceuticals,SIDO.JK,0.0,20240626_035047
29.6,431,643,11251,16215,20231129_000000,20240427_000000,Healthcare,SILO.JK,,20240626_035050
21.1,150,407,5577,16215,20231206_000000,20240427_000000,Transportation,SMDR.JK,0.0,20240626_035113
23.0,11,136,6867,16215,20240221_000000,20240523_000000,Construction Materials,SMGR.JK,1.0,20240626_035119
47.4,192,309,15787,16215,20230131_000000,20240427_000000,Oil & Gas Producers,SMMT.JK,,20240626_035133
25.7,1010,1050,8744,16215,20230223_000000,20230223_000000,Real Estate,SMRA.JK,0.0,20240626_035135
11.7,25,253,760,16215,20240221_000000,20240427_000000,Auto Components,SMSM.JK,,20240626_035143
29.4,511,934,11121,16215,20231208_000000,20231208_000000,Diversified Financials,SRTG.JK,0.0,20240626_035216
30.8,253,646,11917,16215,20230626_000000,20240427_000000,Food Products,SSMS.JK,,20240626_035221
38.3,455,646,14683,16215,20230509_000000,20230509_000000,Food Products,STAA.JK,,20240626_035225
29.3,216,646,11092,16215,20240425_000000,20240427_000000,Food Products,TAPG.JK,,20240626_035247
23.3,81,227,7023,16215,20230628_000000,20240427_000000,Telecommunication Services,TBIG.JK,0.0,20240626_035258
47.3,610,646,15774,16215,20230510_000000,20240503_000000,Food Products,TBLA.JK,,20240626_035300
25.0,261,407,8283,16215,20230830_000000,20240427_000000,Transportation,TCPI.JK,,20240626_035306
45.1,129,243,15581,16215,20231220_000000,20240427_000000,Diversified Metals,TINS.JK,4.0,20240626_035323
30.4,78,85,11699,16215,20230209_000000,20240427_000000,Paper & Forestry,TKIM.JK,4.0,20240626_035331
28.2,141,227,10406,16215,20240219_000000,20240601_000000,Telecommunication Services,TLKM.JK,1.0,20240626_035335
24.4,242,407,7795,16215,20230316_000000,20240427_000000,Transportation,TMAS.JK,,20240626_035340
23.8,88,227,7364,16215,20240130_000000,20240523_000000,Telecommunication Services,TOWR.JK,0.0,20240626_035356
17.3,17,609,3172,16215,20230907_000000,20240523_000000,Chemicals,TPIA.JK,0.0,20240626_035401
36.4,410,646,14244,16215,20230703_000000,20240427_000000,Food Products,ULTJ.JK,,20240626_035439
38.8,100,309,14781,16215,20230223_000000,20240523_000000,Oil & Gas Producers,UNTR.JK,2.0,20240626_035450
18.2,4,111,3699,16215,20240502_000000,20240523_000000,Household Products,UNVR.JK,0.0,20240626_035452
27.7,1011,1111,10109,16215,20231201_000000,20231201_000000,Software & Services,WIFI.JK,0.0,20240626_035528
28.2,47,377,10438,16215,20230214_000000,20240427_000000,Construction & Engineering,WIKA.JK,0.0,20240626_035533
